#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
257,"Kurjuuden kuningas","Tuomari Nurmio, Köyhien Ystävät",33,117,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kohdusta hautaan",1979-01-01,02:56,74,44,23,0,96,0,0,-11,C♯/D♭ minor,4,2025-08-31,1xZMyT9borQZ7yxcZ7HmzW,"Johanna Kustannus Oy",12A,FILKA7900017
258,"Joutilas","YUP",27,102,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Leppymättömät",2003-01-01,03:09,53,84,1,1,59,0,20,-4,E minor,3,2025-08-31,0gUfzBfy4nstEI6DE14hjK,"Universal Music Oy",9A,FIPFP0200196
259,"Meitä odotellaan mullan alla","YUP",30,83,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Normaalien maihinnousu",1999-01-01,03:19,43,88,3,0,65,0,40,-4,A minor,4,2025-08-31,2rFehx8rxTmK4LPw3gbYF4,"Universal Music Oy",8A,FIPFP9900084
260,"Autiotalo","Dingo",46,114,"finnish rock, iskelmä, finnish pop","Pop, Rock, Traditional Music","Kerjäläisten valtakunta",1985-00-00,04:23,52,54,9,0,42,0,0,-8,D,4,2025-08-31,6gZiWkvxlNl6DSZkp58p4d,"WEA",10B,FIFMF8501100
261,"Muistan kesän","Agents, Jorma Kaariainen",30,112,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Is...Back !",1996-01-01,03:49,67,63,10,0,54,0,0,-7,F,4,2025-08-31,2ZQNVC2CONdqFTyuBkJBTn,"Parlophone",7B,FIEFP9600006
262,"Valot","Agents, Jorma Kaariainen",27,107,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Agents Is... Best!",1998-01-01,03:03,56,60,11,0,61,0,30,-8,A,3,2025-08-31,1wlqAxoboEV8gglXfSZQDs,"Parlophone",11B,FIEFP9800034
263,"Kaduilla tuulee","Jari Sillanpää",26,117,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Jari Sillanpää",1996-00-00,04:12,44,62,29,0,50,0,10,-7,A#/B♭,3,2025-08-31,25TzaK4yQjhMumjCXHh5A4,"RCA Records Label",6B,FIMTA9500124
264,"Olen mikä olen","Tamara Lund",0,118,"iskelmä, tango, finnish pop","Pop, Traditional Music, Latin","Grand Prix 1963 - Suomen eurovisioiskelmiä",1963-00-00,02:23,68,28,57,0,43,0,30,-11,G#/A♭,4,2025-08-31,23v0FzUMNAbpw2qDnBFNhN,"WM Finland",4B,FIFMF6300028
265,"Lauralle","Kauko Röyhkä ja Narttu",23,115,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Lauralle",1984-00-00,04:00,78,34,51,52,68,0,0,-13,G,4,2025-08-31,5G6LgqIF8lq3qmKatHEQ55,"WEA",9B,FIFME8400100
266,"Better Unborn","Amorphis",24,106,"melodic death metal, folk metal, death metal, progressive metal, gothic metal, metal, doom metal, finnish rock","Metal, Rock, Folk","Elegy",1996-00-00,05:52,28,84,0,9,41,0,0,-6,G#/A♭,4,2025-08-31,58QTlTlqwU86AfgZui2tnd,"Relapse Records",4B,US2640463501
267,"The Carpenter - Remastered","Nightwish",0,120,"symphonic metal, gothic metal, power metal, metal, folk metal, gothic rock","Folk, Metal, Rock","Angels Fall First",1997-00-00,05:56,53,85,0,0,16,0,20,-4,A minor,4,2025-08-31,3zj0X53Xqzqtuh1lYLmcsl,"Spin-Farm Oy",8A,FISFS9704503
268,"Selvä päivä (feat. Lord Est)","Petri Nygård, Lord Est",45,114,"finnish hip hop, finnish pop, iskelmä, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Kaikki tai ei mitään",2011-01-21,03:29,74,80,3,0,42,0,30,-4,F#/G♭ minor,4,2025-08-31,0EoIMzqnKlmiZnpiozOfQZ,"WM Finland",11A,FIPR90900018
269,"Silkkii","Jukka Poika",14,86,"finnish pop, finnish hip hop, iskelmä, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Silkkii",2011-05-23,03:45,72,76,24,0,91,0,0,-6,G#/A♭ minor,3,2025-08-31,0X1HuMm4pPclzzihhqXgHv,"WM Finland",1A,FIKHY1100096
270,"Taiteilijaelämää","Ismo Alanko",34,99,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Taiteilijaelämää",1995-01-01,04:37,38,66,9,0,56,0,10,-8,C,4,2025-08-31,5Jrw5bbvh56dZVDwQGs23d,"POKO",8B,FIUNP9400201
271,"Jos Mun Pokka Pettää","Haloo Helsinki!",50,136,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","III",2011-01-01,03:31,54,84,2,0,74,0,0,-6,A#/B♭,4,2025-08-31,6WHU2kB0ArIK9pgzsTiwag,"Capitol Records",6B,FIEFE1100016
272,"Poistuisitko mun elämästä","Apulanta",27,154,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Ehjä",1996-00-00,02:20,31,87,0,0,69,0,20,-8,G,4,2025-08-31,2tjFWiAwnM4RGIijiBN2dg,"Levy-yhtiö Oy",9B,FIATN9600022
273,"Luokkakokous","Maija Vilkkumaa",8,97,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Superpallo",2008-09-15,04:24,19,74,1,0,25,0,0,-5,A,4,2025-08-31,7oRXWFwywI7kza7IQFuCvv,"WEA",11B,FIWMA0800861
274,"Minä (feat. Mariska)","Kymppilinja, Mariska",32,126,"finnish hip hop, finnish pop, iskelmä, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Minä feat. Mariska",2010-04-12,04:08,73,72,3,0,69,10,10,-8,D#/E♭ minor,4,2025-08-31,6TpcXrkMw0ZMqh2sWx0N27,"WM Finland",2A,FIRI91000010
275,"Psykedeliaa","Nylon Beat",0,136,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Comeback",2004-00-00,03:38,62,75,1,1,55,0,10,-6,G,4,2025-08-31,2HhYJUO3iSubzGzG3ACJCg,"Mediamusiikki",9B,FIMTA0300041
276,"Hoida homma","Fintelligens",22,103,"finnish hip hop, finnish pop","Hip Hop, Pop","Lisää",2008-01-01,03:35,60,89,2,0,57,20,10,-5,C♯/D♭ minor,4,2025-08-31,1dqjut5rYbocaiSqPkh6zj,"Universal Music Oy",12A,FI5RR0800035
277,"Jos sanon","Kotiteollisuus",34,150,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Tomusta ja tuhkasta",2000-01-01,04:13,47,98,0,0,50,0,50,-4,C♯/D♭,3,2025-08-31,1oSymdIgt4MRjHCc2J0pDF,"Johanna Kustannus Oy",3B,FIJKA0000250
278,"Anna soida","Elastinen",41,132,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Anna soida",2006-02-27,02:51,82,88,19,0,96,20,10,-5,C,4,2025-08-31,5Tb85fFikL9fzEe7GNzoXi,"Universal Music Oy",8B,FI5RR0600039
279,"Valvoja","Ihmepoika",7,145,"finnish rock, finnish pop","Pop, Rock","Ihmepoika",2002-04-29,03:56,42,47,11,0,8,0,20,-7,A minor,4,2025-08-31,7zo4bpfnRHaRiRzH9ZWxXi,"Terrier",8A,FIBAR0100115
280,"Kalajoen Hiekat (California Dreamin')","Tapani Kansa",32,116,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Rokkivaari Hotanen",1978-03-27,02:45,55,88,14,0,65,10,20,-5,B minor,4,2025-08-31,5XdczKVzK5UrLVHoMRH7R9,"Columbia",10A,FISMC7800002
281,"Normipäivä (feat. Hank Solo)","Aste, Hank Solo",13,127,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Normipäivä (feat. Hank Solo)",2010-05-17,03:17,67,82,15,0,68,10,10,-2,A#/B♭ minor,4,2025-08-31,5nAxadmtaiTIPA9VGtaYm6,"WEA",3A,FIWMA1000328
282,"Helsinki City Boy","Teuvo Loman",15,130,"iskelmä, finnish pop","Pop, Traditional Music","Helsinki City Boy",2005-05-23,03:09,71,92,2,0,89,0,20,-5,A#/B♭,4,2025-08-31,3jK7yFrFMQLXtls952TzYE,"Bonnier Music",6B,FIB3A0500006
283,"Pelimies","Martti Vainaa, Sallitut Aineet",30,110,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Pelimies",2005-07-06,03:25,54,85,6,0,65,0,30,-5,F#/G♭ minor,4,2025-08-31,5hxWdqqkE5hSD0QLD5xD8R,"UHO production",11A,FI9UH0500031
284,"Sata kesää, tuhat yötä - Boogie Woogie Dancing Shoes","Paula Koivuniemi",19,133,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","20 Suosikkia / Aikuinen nainen",1995-11-17,04:05,65,83,27,0,77,0,10,-10,C minor,4,2025-08-31,1qDOrF2QKs5LiT4nNAtlzu,"WM Finland",5A,FIFMF8100008
285,"Sori","Vesala",30,170,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Vain elämää",2014-11-07,03:05,60,88,1,1,30,0,30,-5,F minor,4,2025-08-31,2XV6zzOLvKsNhyBBnDcKrA,"WM Finland",4A,FIWMA1400322
286,"Pomppufiilis","Munamies",0,118,"disco","Pop","Pomppufiilis",2011-01-01,02:25,73,87,28,0,96,0,30,-5,C,4,2025-08-31,7JbVytcMOu6JT5KcWzSgQh,"Universal Music Group",8B,FIUM71100205
287,"Ihana kipu","VIIVI, Robin Packalen",46,140,"finnish pop, iskelmä","Pop, Traditional Music","Ihana kipu",2022-10-27,03:07,68,65,10,0,44,0,10,-9,G,4,2025-09-05,4EXBxZeqKIayJa65KtAwZw,"Universal Music Oy",9B,FIUM72200363
288,"Luotathan","Mirella, Lauri Haav",48,127,"finnish pop, finnish hip hop","Hip Hop, Pop","Luotathan",2024-05-30,03:20,63,70,7,0,27,0,10,-5,F minor,4,2025-09-05,0hua7obC2aRxJdPkSoFKEu,"Universal Music Oy",4A,FIUM72400202
289,"USA","VIIVI",19,139,"finnish pop, iskelmä","Pop, Traditional Music","USA",2021-06-18,03:16,51,71,6,0,27,0,30,-5,A,4,2025-09-05,3aaIASrCPzWdIp6GKwszVV,"WM Finland",11B,FITFR2100012
290,"#eurodab","Käärijä, Baby Lasagna",59,175,"finnish pop, europop","Pop","#eurodab",2025-05-16,02:38,67,73,2,0,63,10,10,-6,F#/G♭ minor,4,2025-09-05,5LUbJo8GHzcqlCCrE83c05,"WM Finland",11A,FIWMA2500157
291,"Matkustaja","Egotrippi",51,130,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","20 Suosikkia",2004-03-08,04:01,49,62,3,0,69,0,20,-4,A,4,2025-09-05,5esJb63Nbi1LeG0v4NyKTt,"Zen Garden",11B,FIBAR0300315
292,"Koivuniemen herra","Egotrippi",26,138,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Helsinki - Hollola",2000-03-01,02:47,39,85,0,0,51,0,20,-5,F#/G♭,4,2025-09-05,4PSw914RnPmQ93Gt9UitsU,"Zen Garden",2B,FIZGN0000001
293,"Kynnet, Kynnet","Pyhimys, Vesta",38,100,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Kynnet, Kynnet",2017-09-19,04:06,71,81,68,0,31,0,20,-7,C,4,2025-09-05,5HFUJIjkg7DgP3EuWtZ1rA,"Universal Music Oy",8B,FIUM71700385
294,"Surupuku","Timo Rautiainen & Trio Niskalaukaus",32,120,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Tilinteon Hetki",2004-04-16,04:37,59,67,0,0,69,0,30,-6,G minor,4,2025-09-06,6I8vx69G7tFr4cYx9tycwP,"Spinefarm FI",6A,FISFR0200081
295,"Menestys on paras tapa kostaa","Ares",60,156,"finnish hip hop, finnish pop","Hip Hop, Pop","APATHIA",2025-01-24,02:45,68,64,21,2,36,0,20,-6,D,4,2025-09-06,728CCaVme0Ppv8zrG9caYE,"WM Finland",10B,FIK3E2400162
296,"Bussipysäkillä","Janos Valmunen",17,131,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Bussipysäkillä",1990-11-23,03:44,40,42,40,0,37,0,0,-11,A minor,4,2025-09-06,5ZXlMz95l3fiJleDIzZ8jy,"Selecta",8A,FIEMS9004700
297,"Ehtaa Tavaraa (80-Luvun Tykki)","Bat & Ryyd",34,118,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Ehtaa Tavaraa",1989-00-00,04:15,75,83,1,92,91,0,0,-5,C♯/D♭,4,2025-09-06,7L8PjpJLUE6UIAzrnyRYvg,"iM Tippa Productio",3B,CH6541742919
298,"Kukkurukuu","Mariska & Pahat Sudet, Mariska",36,124,"finnish pop, iskelmä, finnish rock, finnish hip hop","Hip Hop, Pop, Rock, Traditional Music","Kukkurukuu",2012-09-14,03:56,57,52,11,3,10,0,10,-7,B minor,4,2025-09-06,53jp0YWVX6kEtr8T81cK3v,"WM Finland",10A,FIWMA1200218
299,"Tarkasta tämä - Remix","Mariska",22,100,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Toisin sanoen",2002-05-11,03:50,79,59,31,0,53,20,20,-5,G,4,2025-09-06,5aosgPrX8xKxdf9zWnzoIs,"WEA",9B,FIWMA0200190
300,"Aamuyö","101",24,83,"finnish rock, finnish pop, iskelmä, acid house, eurodance, lo-fi house","Electronic, Pop, Rock, Traditional Music","Aamuyö",1995-00-00,04:32,40,48,3,0,25,0,20,-10,A,4,2025-09-06,3bTgzEnJpyrgTRte09HaMW,"WM Finland",11B,FIKFK9500505
301,"Kaunis peto","XL5",22,108,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Suomi Huiput",2003-10-13,03:36,66,94,1,0,87,0,10,-8,C minor,4,2025-09-06,2ZCvWiGy26xn0wQUSyWJHY,"RCA Records Label",5A,FIZMC9600001
302,"Voit sä lopettaa?","Juustopäät",29,147,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Et sä tajuu?",1996-01-01,03:05,46,91,5,0,82,0,30,-7,B,4,2025-09-06,27xWHpZ7neIP1uuTAq8lXl,"Universal Music Oy",1B,FIPFP9600075
303,"Roosa ja kahdeksan muuta","Mieskone",22,150,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Roosa ja kymmenen muuta",1995-01-01,04:02,70,65,11,0,78,0,10,-10,A,4,2025-09-06,3MSzmbcizTVDvaoPBpeaEz,"Universal Music Oy",11B,FIPST9500001
304,"Karhun elämää","Pekka Ja Susi",18,102,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Rannalla",2002-10-11,03:34,60,80,4,0,64,0,20,-6,A,4,2025-09-06,7G7qORZM0PfRwxQmZJoisV,"RCA Records Label",11B,FIBAR9400069
305,"Työlki ellää","Kuunkuiskaajat",10,110,"iskelmä, finnish pop","Pop, Traditional Music","Kuunkuiskaajat",2010-01-01,03:28,57,49,79,0,80,0,0,-6,A minor,4,2025-09-06,0rrNxieMoMxHDzbZh8yDgu,"Universal Music Oy",8A,FIMGM1000005
306,"Monsters","Saara Aalto",29,122,"","","Wild Wild Wonderland",2018-04-27,03:02,58,74,1,0,24,0,0,-5,C minor,4,2025-09-06,51cdazVlYWqmnsfrVaeTeG,"WM Finland",5A,FIWMA1800025
307,"Lauren Caught My Eye","The Crash, Stockholm by Adam Kviman AKM Studios",38,127,"finnish rock, finnish pop","Pop, Rock","Wildlife",2001-09-24,03:50,66,59,0,0,59,0,0,-9,D,4,2025-09-06,72uMyJYhDP5oecxWMQFA6W,"WEA",10B,FIWMA0100165
308,"Sugared","The Crash",38,164,"finnish rock, finnish pop","Pop, Rock","Comfort Deluxe",1999-11-25,04:26,43,59,8,0,33,0,10,-8,F#/G♭ minor,4,2025-09-06,5wFpmMBo1mntHUzRUwOgMA,"WM Finland",11A,FIWMA9900100
309,"Italia","Isac Elliot, Averagekidluke, MD$",55,150,"finnish hip hop, finnish pop","Hip Hop, Pop","Italia",2024-05-23,03:13,68,75,3,0,74,0,10,-7,F minor,4,2025-09-06,5dSmtvguWDB0oXMFUbUyYK,"Universal Music Oy",4A,FIUM72400183
310,"Onnen Kyyneleet","Sami Saari",18,92,"finnish pop, iskelmä, finnish rock, finnish hip hop","Hip Hop, Pop, Rock, Traditional Music","Hits",2003-01-01,04:25,67,62,13,0,68,0,40,-8,A#/B♭ minor,4,2025-09-06,6yLjueiBI053cQJkRiVqwZ,"EMI FINLAND",3A,FIEFP9900001
311,"Viimeinen mammutti","Hevisaurus",42,120,"power metal","Metal","Jurahevin kuninkaat",2009-10-12,03:53,53,52,1,0,26,0,20,-6,G#/A♭,4,2025-09-09,0nT8Sz2Kp4U4qR5DaDQ0cm,"RCA Records Label",4B,FIBAR0900236
312,"Syksyn Sävel","Juice Leskinen",41,126,"finnish rock, iskelmä, finnish pop","Pop, Rock, Traditional Music","Tähän saakka",1977-01-01,03:32,53,51,48,7,53,0,10,-10,E minor,4,2025-11-14,4XPY7bhsvkwS3jLMp0DljG,"Siboney Oy",9A,FISBA7500701
313,"Hetki lyö","Kirka, The Islanders",22,74,"iskelmä, finnish pop, finnish rock, exotica","Easy Listening, Pop, Rock, Traditional Music","Kirka",1969-00-00,03:27,54,38,54,0,61,0,0,-11,E minor,4,2025-11-14,66ac0m0YkSTeIH1Q0EvMaD,"WEA",9A,FIFSC6700900
314,"Seireeni - Single Mix","Don Huonot",28,130,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kaksoisolento",1995-01-01,02:44,68,91,25,0,83,0,0,-8,B minor,4,2025-11-14,3YJXX3wHiXsSdrINtDvqNg,"Johanna Kustannus Oy",10A,FIJKA9500226
315,"Black Diamond","Stratovarius",56,150,"power metal, symphonic metal, speed metal, metal, progressive metal, heavy metal","Metal","Visions",1997-08-29,05:40,39,99,0,34,37,0,0,-7,C♯/D♭ minor,4,2025-11-14,1EoN7hqAsyuTUrBjJPzWJF,"earMUSIC",12A,DEA249700002
316,"Mä Elän Vieläkin (The Highwayman)","Jorma Kaariainen, Harri Marstio, Pate Mustajärvi, Topi Sorsakoski",26,102,"iskelmä, finnish rock, finnish pop, tango","Pop, Rock, Traditional Music, Latin","Ukkometso",2000-00-00,03:03,55,90,1,0,84,0,30,-6,B minor,4,2025-11-14,4uHibTWum2uX68MxjOaQux,"POKO",10A,FIUNP0000123
317,"Kevät","Tavaramarkkinat",39,74,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Lievä kosto",1986-00-00,03:24,62,36,60,0,44,0,30,-13,E minor,4,2025-11-14,6OdPM6e1iVU2vllqlYKcvX,"WM Finland",9A,FIFME8600001
318,"Ilona?","Apulanta",30,106,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Attack Of The A.L People",1995-00-00,05:44,37,55,4,0,15,0,10,-5,A minor,4,2025-11-14,5l3tM5lZE6Wg6TKuYjCqg6,"Levy-yhtiö Oy",8A,FIATN9400027
319,"Ake, Make, Pera ja mä","Hector",35,94,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Hectorock I",1974-00-00,03:01,60,63,48,4,80,0,10,-13,A,4,2025-11-14,3KEDSUAbZDWzZDOnMb6k0u,"WM Finland",11B,FIFPS7400002
320,"Kohtalokas samba","Vesa-Matti Loiri",13,129,"iskelmä, finnish pop, finnish rock, christmas","Pop, Rock, Traditional Music","Laulu on iloni ja työni",1973-00-00,03:47,61,34,65,0,69,40,30,-17,D#/E♭ minor,4,2025-11-14,3C6dbASgglESwSXWcSQDJq,"WM Finland",2A,FIFSC6900002
321,"Mitä kuuluu","Apulanta",34,126,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Ehjä",1996-00-00,02:48,47,91,0,0,55,0,0,-8,D,4,2025-11-14,2LbrKnAXbcmWZnbBMeD0iV,"Levy-yhtiö Oy",10B,FIATN9600027
322,"Rakastuin mä looseriin","Nylon Beat",47,189,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Nylon Beat",1996-03-18,04:17,60,71,3,26,54,10,30,-8,C,4,2025-11-14,7o5AtfoidPNmRZuMpTQzCp,"RCA Records Label",8B,FIMTA9600001
