#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
25,"Tule meille jouluksi","Jenni Vartiainen",44,76,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Terra",2013-10-04,04:14,42,17,80,0,13,0,0,-13,A#/B♭,1,2025-11-24,4WfcvoGZvyUysZBiO7DtAP,"WM Finland",6B,FIWMA1300487
26,"Winter Wonderland","Rod Stewart, Michael Bublé",0,118,"soft rock, christmas","Pop, Rock","Merry Christmas, Baby (Deluxe Edition)",2012-01-01,02:23,67,49,75,0,44,0,10,-8,C,4,2025-11-24,0vJnAIhLnRrXgtN0SmrrTy,"Universal Music Group",8B,USUM71209204
27,"Kirje joulupukille","Vesala",44,151,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Kirje joulupukille",2022-11-02,03:16,42,29,79,0,19,0,0,-11,G minor,4,2025-11-24,66Vf08SRjwVU8O5ru8pw30,"WM Finland",6A,FIWMA2200416
28,"Merry Christmas","Ed Sheeran, Elton John",79,114,"soft pop","Pop","Merry Christmas",2021-12-03,03:28,59,94,24,0,60,0,10,-2,C,4,2025-11-24,3bH2Eu9A9ymI4UnGHRmoXg,"Atlantic Records UK",8B,GBAHS2101360
29,"Joulun rauhaa","Happoradio",0,160,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Joulun rauhaa",2017-12-01,03:54,43,68,23,0,26,0,20,-6,E,3,2025-11-24,6UuQTO7ZSu6KcaHwMT4il2,"Samsara Records",12B,FIHRB1700001
30,"Have Yourself A Merry Little Christmas","Sam Smith",0,133,"soft pop","Pop","Have Yourself A Merry Little Christmas",2014-12-05,02:50,43,18,95,0,32,0,30,-9,F,1,2025-11-24,7Hz6LLOVxrojLPIHJJ1S0E,"Universal Music Group",7B,GBUM71406655
31,"Avaruus","Johanna Kurkela",0,78,"finnish pop, iskelmä, symphonic metal, finnish rock","Pop, Rock, Traditional Music, Metal","Joulun lauluja",2013-01-01,04:56,47,37,4,2,19,0,0,-13,C minor,4,2025-11-24,5osZJojRNuUPvAeP2ouA5t,"Universal Music Oy",5A,FIK3E1300104
32,"It's the Most Wonderful Time of the Year","Andy Williams",84,202,"christmas, adult standards","Easy Listening, Pop","The Andy Williams Christmas Album",1963-11-24,02:32,24,60,77,0,78,0,10,-8,G,3,2025-11-24,5hslUAKq9I9CG2bAulFkHN,"Columbia/Legacy",9B,USSM16300086
33,"Jossain on kai vielä joulu","Leevi and the leavings",39,134,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Varasteleva joulupukki",1990-01-01,03:38,43,62,13,0,79,0,30,-11,C,4,2025-11-24,1SrJgsaUN5heU57gpCWbAU,"Johanna Kustannus Oy",8B,FIJKA9000601
34,"Christmas (Baby Please Come Home) (feat. Bryan Adams)","Robbie Williams, Bryan Adams",46,129,"","","The Christmas Present (Deluxe)",2020-11-20,02:43,32,84,1,0,20,0,0,-6,A,4,2025-11-24,2TLbmWYZIUyaRT4vwr1tiH,"Columbia",11B,GBPS61900017
