#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
43,"Ollaanko tämä kesä näin?","Olavi Uusivirta",48,161,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Ikuiset lapset",2014-01-01,04:17,46,90,24,0,55,0,20,-7,G minor,4,2025-06-11,45W3OW8VgBNjb8lOpPXWeT,"Johanna Kustannus Oy",6A,FIUM71400050
44,"Valittu kansa","Antti Tuisku",25,134,"finnish pop, iskelmä","Pop, Traditional Music","Valittu kansa",2020-02-07,03:57,57,67,1,5,18,0,0,-7,C♯/D♭ minor,4,2025-06-11,6caWW1dpSJQtmO8zlgGo9g,"WM Finland",12A,FIWMA1900649
45,"Sydän sulaa","Evelina",40,124,"finnish pop, finnish hip hop, iskelmä","Hip Hop, Pop, Traditional Music","Pehmee",2023-08-24,03:35,62,78,14,0,59,0,0,-6,B minor,4,2025-06-11,02XacI4MQ1ok9GgQqAA1Ic,"Universal Music Oy",10A,FIUM72200186
46,"Pimee (feat. BESS)","Elastinen, BESS",39,120,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Pimee (feat. BESS)",2023-09-01,02:38,71,81,1,0,63,0,10,-5,F#/G♭,4,2025-06-11,0HxPzvkpUhADgfRnXNF6zS,"WM Finland",2B,FIK3E2300066
47,"Isän ikäinen","Olli Halonen",38,166,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Olli Halonen",2023-09-08,04:11,55,69,20,0,34,10,10,-6,B,4,2025-06-11,3RiubMmEey7UVcwXzcCJLm,"WM Finland",1B,FIWMA2000232
48,"Muukalainen","Frans Harju",32,143,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Muukalainen",2023-03-10,02:57,66,72,0,0,93,0,20,-8,A#/B♭ minor,4,2025-06-11,0Th3TrdjnlFs5U8nRsaBgZ,"WM Finland",3A,FIK3E2200628
49,"Pieninä palasina","Neon 2",40,107,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Pieninä palasina",2021-11-12,03:34,56,85,2,0,52,0,20,-6,A minor,4,2025-06-11,5fWHN8H9ZboSDzO00DugfR,"Gramophone Records",8A,FIGPF2100004
50,"Tässä talossa (Vain elämää kausi 15)","Ilta",42,110,"finnish pop, iskelmä","Pop, Traditional Music","Tässä talossa (Vain elämää kausi 15)",2024-10-18,03:41,57,60,28,0,17,0,0,-7,D,4,2025-06-11,5pVeRXVETICXpLObQ6gPZ7,"WM Finland",10B,FIK3E2400098
51,"Miehen työ","Suski",33,140,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Miehen työ",2025-06-06,04:54,51,52,54,2,18,0,10,-6,C♯/D♭ minor,4,2025-06-11,5DeF4Ul6eXmhOvNYpycHnG,"Suski Records",12A,QZTAY2557130
52,"Way down We Go","KALEO",83,163,"","","A/B",2016-06-10,03:33,49,51,58,0,34,10,10,-8,A#/B♭ minor,4,2025-06-11,0y1QJc3SJVPKJ1OvFmFqe6,"Elektra (NEK)",3A,USAT21502122
