#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
101,"Good Feeling","Flo Rida",80,128,"","","Wild Ones",2012-06-22,04:08,71,89,6,0,68,0,30,-4,C♯/D♭ minor,4,2025-01-15,2LEF1A8DOZ9wRYikWgVlZ8,"Poe Boy/Atlantic",12A,USAT21101961
102,"Lulu","Tuula Amberla",29,87,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Lulu",1989-10-05,03:29,77,42,44,0,81,10,0,-12,E minor,4,2025-01-15,5t5FRWb33aJzfBcvDcxO5e,"Selecta",9A,FIEMS8901700
103,"Nemo","Nightwish",0,125,"symphonic metal, gothic metal, power metal, metal, folk metal, gothic rock","Folk, Metal, Rock","Highest Hopes-The Best Of Nightwish",2005-01-01,04:33,50,75,0,0,35,0,0,-7,D#/E♭,4,2025-01-15,6PkOmPMlH5nPFeoCPU0lo2,"Spin-Farm Oy",5B,DED830471903
104,"To the Moon & Back","Savage Garden",60,104,"","","Savage Garden",1997-03-04,05:41,58,76,2,0,33,0,10,-7,C minor,4,2025-01-15,6FRtjadDsEhZIQIlh1loEM,"Sony Music Entertainment",5A,USSM19700099
105,"Fever","Peggy Lee",67,136,"vocal jazz, swing music, big band, jazz","Jazz","Things Are Swingin'",1958-11-03,03:19,84,17,23,0,40,0,10,-13,E minor,4,2025-01-15,3aPlQWU07jGgyHaBHVS5TS,"Blue Note Records",9A,USCA20000950
106,"Moottoripyörä on moottoripyörä","Mika Sundqvist",32,98,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Moottoripyörä on moottoripyörä",1980-00-00,03:37,61,73,13,0,73,0,0,-8,D minor,4,2025-01-15,5Nsz5UTd8puSxkszKqxJod,"WM Finland",7A,FIWMA0400254
107,"Hyvää yötä ja huomenta","Don Huonot",16,93,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Onnenvarjot",2005-01-31,04:54,53,59,0,0,41,0,40,-8,D,4,2025-01-15,70Wo6BzkixtS4KbF6Hd4MY,"RCA Records Label",10B,FIBAR9700064
108,"True - Single Edit","Spandau Ballet",69,97,"new wave, synthpop","Pop, Rock, Electronic","True - The Digital E.P.",2008-04-25,05:29,74,53,46,15,39,0,0,-9,C,4,2025-01-15,0CsM8VGDi38kusMv3pxyj1,"Parlophone UK",8B,GBAYK8300004
109,"Rentun ruusu","Irwin Goodman",41,174,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Rentun ruusu",1988-00-00,03:28,35,72,34,0,84,0,20,-12,F minor,4,2025-01-15,4ieWnZxkolHTJcintQuCj5,"WEA",4A,FIFLG8800100
110,"Non, je ne regrette rien","Édith Piaf",67,87,"chanson, variété française, french jazz","Folk, Traditional Music, Jazz, Pop","Eternelle",1987-10-31,02:22,38,35,86,0,44,0,10,-7,G,4,2025-01-15,3dkIE8P7hvl3tHl9KSb6dA,"Parlophone (France)",9B,FRZ116000530
